   time      tracer1      tracer2
7.393468e-03 1.213749e+00 8.355641e-01
7.394127e-03 1.213749e+00 8.358185e-01
7.394785e-03 1.213749e+00 8.360731e-01
7.395444e-03 1.213749e+00 8.363277e-01
7.396103e-03 1.213749e+00 8.365823e-01
7.396762e-03 1.213749e+00 8.368371e-01
7.397421e-03 1.213749e+00 8.370918e-01
7.398080e-03 1.213749e+00 8.373467e-01
7.398740e-03 1.213749e+00 8.376015e-01
7.399399e-03 1.213749e+00 8.378565e-01
7.400059e-03 1.213749e+00 8.381114e-01
7.400719e-03 1.213749e+00 8.383665e-01
7.401378e-03 1.213749e+00 8.386216e-01
7.402038e-03 1.213749e+00 8.388767e-01
7.402698e-03 1.213749e+00 8.391319e-01
7.403359e-03 1.213749e+00 8.393872e-01
7.404019e-03 1.213749e+00 8.396425e-01
7.404679e-03 1.213749e+00 8.398978e-01
7.405340e-03 1.213749e+00 8.401532e-01
7.406000e-03 1.213749e+00 8.404087e-01
7.406661e-03 1.213749e+00 8.406642e-01
7.407322e-03 1.213749e+00 8.409197e-01
7.407983e-03 1.213749e+00 8.411753e-01
7.408644e-03 1.213749e+00 8.414310e-01
7.409305e-03 1.213749e+00 8.416867e-01
7.409966e-03 1.213749e+00 8.419424e-01
7.410628e-03 1.213749e+00 8.421982e-01
7.411289e-03 1.213749e+00 8.424540e-01
7.411951e-03 1.213749e+00 8.427099e-01
7.412613e-03 1.213749e+00 8.429658e-01
7.413274e-03 1.213749e+00 8.432218e-01
7.413936e-03 1.213749e+00 8.434778e-01
7.414598e-03 1.213749e+00 8.437338e-01
7.415260e-03 1.213749e+00 8.439899e-01
7.415922e-03 1.213749e+00 8.442460e-01
7.416584e-03 1.213749e+00 8.445022e-01
7.417247e-03 1.213749e+00 8.447583e-01
7.417909e-03 1.213749e+00 8.450146e-01
7.418571e-03 1.213749e+00 8.452708e-01
7.419234e-03 1.213749e+00 8.455272e-01
7.419896e-03 1.213749e+00 8.457835e-01
7.420559e-03 1.213749e+00 8.460399e-01
7.421222e-03 1.213749e+00 8.462963e-01
7.421884e-03 1.213749e+00 8.465527e-01
7.422547e-03 1.213749e+00 8.468092e-01
7.423210e-03 1.213749e+00 8.470657e-01
7.423873e-03 1.213749e+00 8.473222e-01
7.424536e-03 1.213749e+00 8.475788e-01
7.425199e-03 1.213749e+00 8.478354e-01
7.425862e-03 1.213749e+00 8.480920e-01
7.426525e-03 1.213749e+00 8.483486e-01
7.427189e-03 1.213749e+00 8.486052e-01
7.427852e-03 1.213749e+00 8.488618e-01
7.428515e-03 1.213749e+00 8.491185e-01
7.429178e-03 1.213749e+00 8.493751e-01
7.429841e-03 1.213749e+00 8.496318e-01
7.430504e-03 1.213749e+00 8.498884e-01
7.431167e-03 1.213749e+00 8.501451e-01
7.431831e-03 1.213749e+00 8.504018e-01
7.432494e-03 1.213749e+00 8.506584e-01
7.433157e-03 1.213749e+00 8.509151e-01
7.433820e-03 1.213749e+00 8.511718e-01
7.434483e-03 1.213749e+00 8.514284e-01
7.435146e-03 1.213749e+00 8.516851e-01
7.435809e-03 1.213749e+00 8.519418e-01
7.436472e-03 1.213749e+00 8.521985e-01
7.437135e-03 1.213749e+00 8.524552e-01
7.437798e-03 1.213749e+00 8.527119e-01
7.438461e-03 1.213749e+00 8.529686e-01
7.439124e-03 1.213749e+00 8.532253e-01
7.439787e-03 1.213749e+00 8.534820e-01
7.440450e-03 1.213749e+00 8.537387e-01
7.441113e-03 1.213749e+00 8.539954e-01
7.441776e-03 1.213749e+00 8.542521e-01
7.442439e-03 1.213749e+00 8.545089e-01
7.443102e-03 1.213749e+00 8.547656e-01
7.443765e-03 1.213749e+00 8.550223e-01
7.444428e-03 1.213749e+00 8.552791e-01
7.445091e-03 1.213749e+00 8.555358e-01
7.445754e-03 1.213749e+00 8.557926e-01
7.446417e-03 1.213749e+00 8.560494e-01
7.447080e-03 1.213749e+00 8.563061e-01
7.447743e-03 1.213749e+00 8.565629e-01
7.448406e-03 1.213749e+00 8.568197e-01
7.449069e-03 1.213749e+00 8.570765e-01
7.449732e-03 1.213749e+00 8.573333e-01
7.450395e-03 1.213749e+00 8.575902e-01
7.451058e-03 1.213749e+00 8.578470e-01
7.451721e-03 1.213749e+00 8.581038e-01
7.452384e-03 1.213749e+00 8.583607e-01
7.453047e-03 1.213749e+00 8.586175e-01
7.453710e-03 1.213749e+00 8.588744e-01
7.454373e-03 1.213749e+00 8.591313e-01
7.455036e-03 1.213749e+00 8.593882e-01
